Time,Year,Month,Date,Hour,Day,AceticAcidDerivatives,PropionicAcidDerivatives,SalicylicAcidDerivatives,PyrazolonesAndAnilides,AnxiolyticDrugs,HypnoticsSndSedativesDrugs,ObstructiveAirwayDrugs,Antihistamines
01-02-2014 08:00,2014,2,1,8,Thursday,0,0.67,0.4,2,0,0,0,1
01-02-2014 09:00,2014,2,1,9,Thursday,0,0,1,0,2,0,0,0
01-02-2014 10:00,2014,2,1,10,Thursday,0,0,0,3,2,0,0,0
01-02-2014 11:00,2014,2,1,11,Thursday,0,0,0,2,1,0,0,0
01-02-2014 12:00,2014,2,1,12,Thursday,0,2,0,5,2,0,0,0
01-02-2014 13:00,2014,2,1,13,Thursday,0,1,2,20.4,0,0,0,1
01-02-2014 14:00,2014,2,1,14,Thursday,0,0,0,0,0,0,0,0
01-02-2014 15:00,2014,2,1,15,Thursday,0,0,0,0,0,0,0,0
01-02-2014 16:00,2014,2,1,16,Thursday,0,0,0,0,0,0,0,0
01-02-2014 17:00,2014,2,1,17,Thursday,0,0,0,0,0,0,0,0
01-02-2014 18:00,2014,2,1,18,Thursday,0,0,0,0,0,0,0,0
01-02-2014 19:00,2014,2,1,19,Thursday,0,0,0,0,0,0,0,0
01-02-2014 20:00,2014,2,1,20,Thursday,0,0,0,0,0,0,0,0
01-02-2014 21:00,2014,2,1,21,Thursday,0,0,0,0,0,0,0,0
01-02-2014 22:00,2014,2,1,22,Thursday,0,0,0,0,0,0,0,0
01-02-2014 23:00,2014,2,1,23,Thursday,0,0,0,0,0,0,0,0
01-03-2014 00:00,2014,3,1,0,Friday,0,0,0,0,0,0,0,0
01-03-2014 01:00,2014,3,1,1,Friday,0,0,0,0,0,0,0,0
01-03-2014 02:00,2014,3,1,2,Friday,0,0,0,0,0,0,0,0
01-03-2014 03:00,2014,3,1,3,Friday,0,0,0,0,0,0,0,0
01-03-2014 04:00,2014,3,1,4,Friday,0,0,0,0,0,0,0,0
01-03-2014 05:00,2014,3,1,5,Friday,0,0,0,0,0,0,0,0
01-03-2014 06:00,2014,3,1,6,Friday,0,0,0,0,0,0,0,0
01-03-2014 07:00,2014,3,1,7,Friday,0,0,0,0,1,0,0,0
01-03-2014 08:00,2014,3,1,8,Friday,0,0,0,0.6,0,0,0,0
01-03-2014 09:00,2014,3,1,9,Friday,0,0,1,1,0,0,0,0
01-03-2014 10:00,2014,3,1,10,Friday,1,2,0,4.1,2,0,0,0
01-03-2014 11:00,2014,3,1,11,Friday,4,0,1,8,4,0,0,0
01-03-2014 12:00,2014,3,1,12,Friday,0,0,0.4,10.4,4,0,10,1
01-03-2014 13:00,2014,3,1,13,Friday,1,1,0,3,2,0,0,0
01-03-2014 14:00,2014,3,1,14,Friday,0,0,0,3,0,0,1,0
01-03-2014 15:00,2014,3,1,15,Friday,1,0,0,3,0,0,6,2
01-03-2014 16:00,2014,3,1,16,Friday,0,1,0,4.2,0,0,2,0
01-03-2014 17:00,2014,3,1,17,Friday,1,0,1,4,1,0,0,1
01-03-2014 18:00,2014,3,1,18,Friday,0,0,1,0.3,2,0,0,0
01-03-2014 19:00,2014,3,1,19,Friday,0,0,0,1,0,0,1,0
01-03-2014 20:00,2014,3,1,20,Friday,0,0,0,8,0,0,0,0
01-03-2014 21:00,2014,3,1,21,Friday,0,0,0,0,0,0,0,0
01-03-2014 22:00,2014,3,1,22,Friday,0,0,0,0,0,0,0,0
01-03-2014 23:00,2014,3,1,23,Friday,0,0,0,0,0,0,0,0
01-04-2014 00:00,2014,4,1,0,Saturday,0,0,0,0,0,0,0,0
01-04-2014 01:00,2014,4,1,1,Saturday,0,0,0,0,0,0,0,0
01-04-2014 02:00,2014,4,1,2,Saturday,0,0,0,0,0,0,0,0
01-04-2014 03:00,2014,4,1,3,Saturday,0,0,0,0,0,0,0,0
01-04-2014 04:00,2014,4,1,4,Saturday,0,0,0,0,0,0,0,0
01-04-2014 05:00,2014,4,1,5,Saturday,0,0,0,0,0,0,0,0
01-04-2014 06:00,2014,4,1,6,Saturday,0,0,0,0,0,0,0,0
01-04-2014 07:00,2014,4,1,7,Saturday,0,0,0,0,0,0,0,0
01-04-2014 08:00,2014,4,1,8,Saturday,1,0,0.2,0,0,0,0,0
01-04-2014 09:00,2014,4,1,9,Saturday,0,0,0,9,0,0,0,0
01-04-2014 10:00,2014,4,1,10,Saturday,0,0,1,9,3,0,5,0
01-04-2014 11:00,2014,4,1,11,Saturday,1,0,2,5,0,0,0,0
01-04-2014 12:00,2014,4,1,12,Saturday,0,0,0,2,0,0,0,0
01-04-2014 13:00,2014,4,1,13,Saturday,0,0,0,3,1,0,0,0
01-04-2014 14:00,2014,4,1,14,Saturday,0,1,0,6,2,0,0,0
01-04-2014 15:00,2014,4,1,15,Saturday,0,0,0,1,0,0,0,0
01-04-2014 16:00,2014,4,1,16,Saturday,0,0,0.3,6,0,0,0,0
01-04-2014 17:00,2014,4,1,17,Saturday,0,0,0,1.25,1,0,0,0
01-04-2014 18:00,2014,4,1,18,Saturday,0,0,0,10,0,0,0,0
